delta,ticker,exit_dte,held_days,ret,dd,calmar,sharpe,trades,in_mkt,pf,win
0.3,NBIS,135,30,0.1579526303584644,-0.10369687091926261,1.5232150108120892,0.7738118972960445,13,0.7486187845303868,2.1592698766582883,0.46153846153846156
0.3,BE,0,165,1.0359198103456184,-0.7616906423699981,1.3600269620253667,0.40529319269901315,16,0.9425465838509317,2.8984017384101146,0.1875
0.3,BE,15,150,2.042787033600517,-0.47143868377111564,4.333091670076642,0.6041095921526219,18,0.9642857142857143,4.498553138827729,0.2222222222222222
0.3,BE,30,135,1.1607731842818598,-0.46480983728719505,2.497307696963921,0.4197281483833225,20,0.9632505175983437,2.8838758314748945,0.25
0.3,BE,45,120,1.951903203553301,-0.4049103871617039,4.820580714749099,0.5411132321385715,22,0.9415113871635611,4.040290484518191,0.3181818181818182
0.3,BE,60,105,2.5122671352312893,-0.5255118151596765,4.780610183746179,0.717331525501215,25,0.9332298136645962,4.499565945316217,0.24
0.3,BE,75,90,1.6318859599660493,-0.2597856945259541,6.281662132873965,0.592873030734072,29,0.9368530020703933,3.3601050667200867,0.27586206896551724
0.3,BE,90,75,1.942128042235887,-0.3034141580666737,6.4009143627671925,0.667038225019344,34,0.9290890269151139,3.612868409838519,0.3235294117647059
0.3,BE,105,60,1.5485364891145919,-0.28357537165607505,5.460758034349622,0.6336746708321617,43,0.9285714285714286,2.611542787957391,0.37209302325581395
0.3,BE,120,45,0.7645873221106674,-0.3581357003890522,2.1349095364692103,0.4185447129240642,57,0.9228778467908902,1.7408409953772708,0.3508771929824561
0.3,BE,135,30,1.589231321244616,-0.2853736992975172,5.568948102634217,0.6480711949137713,86,0.9311594202898551,2.080405665639951,0.3372093023255814
0.3,CRDO,0,165,0.4331739955309495,-0.33002577035929626,1.3125459719686636,0.41472926440489266,9,0.9751908396946565,2.538401176707325,0.2222222222222222
0.3,CRDO,15,150,0.6981366069817114,-0.3262833064514019,2.1396638846605995,0.542107946070276,10,0.9847328244274809,3.639170635614303,0.4
0.3,CRDO,30,135,0.5945066634110288,-0.34679438918120387,1.714291470558921,0.4871428757295444,11,0.9751908396946565,3.5042712872837867,0.45454545454545453
0.3,CRDO,45,120,0.7851950610770302,-0.33214574609394654,2.3640075789347605,0.5655609442752711,12,0.9446564885496184,4.171037606445099,0.3333333333333333
0.3,CRDO,60,105,0.8542976738089478,-0.2630879396183218,3.2471943603660858,0.6658187325343876,13,0.8950381679389313,5.227900003205901,0.46153846153846156
0.3,CRDO,75,90,0.6096111972875571,-0.24360783310613887,2.5024285529519577,0.5694119903128021,15,0.892175572519084,3.7581448933905297,0.5333333333333333
0.3,CRDO,90,75,0.7579976087342231,-0.1757261584646379,4.313516071579963,0.7577030046258965,18,0.9045801526717557,3.8925240150418774,0.5555555555555556
0.3,CRDO,105,60,0.8540936309097713,-0.24462686878901085,3.4914138219478326,0.7331073999849295,23,0.916030534351145,4.163540424210101,0.43478260869565216
0.3,CRDO,120,45,0.7564298807537175,-0.20431433011376798,3.702285005327409,0.8154051620724183,30,0.8950381679389313,3.0990733994084234,0.5
0.3,CRDO,135,30,0.9174439295574552,-0.1531670868315279,5.989824240547014,1.0316623531132527,44,0.8816793893129771,2.7778452651102454,0.45454545454545453
0.3,ASX,0,165,0.925425091884009,-0.3005213662706151,3.0793986576338046,0.44464856768785177,24,1.0,2.1481589297894725,0.25
0.3,ASX,15,150,1.6208689360143258,-0.1663205764629827,9.745450445664346,0.7766256623935289,27,1.0,4.602203464964341,0.2962962962962963
0.3,ASX,30,135,1.143121351472793,-0.23336472091495752,4.898432577944666,0.5818887944678931,30,1.0,3.3559891471087826,0.2
0.3,ASX,45,120,0.4772858937721285,-0.2909245420408869,1.6405831231146188,0.2998632447816274,34,1.0,1.963810692573535,0.3235294117647059
0.3,ASX,60,105,0.6500154932410711,-0.20827350390465338,3.120970651834067,0.38908988055479987,39,1.0,2.4525445164094637,0.28205128205128205
0.3,ASX,75,90,0.5358100547789413,-0.18960919861112147,2.825865299277276,0.40925133484088033,45,1.0,2.0694034288253706,0.3333333333333333
0.3,ASX,90,75,0.6465297672661967,-0.2290400818943995,2.8227800213775844,0.45563708212165344,53,1.0,2.1291145919543895,0.32075471698113206
0.3,ASX,105,60,0.4704718035793458,-0.28383476626826765,1.6575552380876322,0.3487003415455406,67,1.0,1.8270119432971872,0.31343283582089554
0.3,ASX,120,45,0.3316227352673258,-0.22801428225322817,1.4543945755951906,0.3040084049707447,90,1.0,1.4508463119981982,0.4222222222222222
0.3,ASX,135,30,0.30601376777916656,-0.3286472965307169,0.9311312492435644,0.26042863767362884,134,1.0,1.3499664846469672,0.34328358208955223
0.4,NBIS,0,165,0.34443764836346236,-0.3090617442800432,1.1144622546728553,0.7265083629967329,3,0.9419889502762431,12.120733537338072,0.6666666666666666
0.4,NBIS,15,150,0.40144937409797343,-0.23742480431147095,1.6908484994319433,0.8178059119038174,3,0.8591160220994475,14.339364104097635,0.6666666666666666
0.4,NBIS,30,135,0.8440863756726431,-0.19314158329145226,4.3702985203290465,1.4955593941466483,3,0.7790055248618785,29.849592196153655,0.6666666666666666
0.4,NBIS,45,120,0.778658155724701,-0.1342318962776481,5.800842998702097,1.6165693737997826,3,0.6906077348066298,30.218839994248317,0.6666666666666666
0.4,NBIS,60,105,0.43870665603267067,-0.10183378411049071,4.308065931799897,1.250304237164335,3,0.6022099447513812,22.119773949289414,0.6666666666666666
0.4,NBIS,75,90,0.3192099256670582,-0.16367590559152667,1.9502560533478017,1.0061515570326294,4,0.6878453038674033,13.55086844244468,0.75
0.4,NBIS,90,75,0.5016409661739085,-0.08712486912999129,5.7577241857942365,1.6598130195970529,4,0.5718232044198895,18.354626785616095,0.75
0.4,NBIS,105,60,0.2528357841585007,-0.10915167818408733,2.316371020261238,1.033663016211182,5,0.574585635359116,9.523886004608235,0.8
0.4,NBIS,120,45,0.34626512761998907,-0.04431083809069558,7.81445674557661,1.4768493519116026,6,0.5193370165745856,12.868372658972936,0.8333333333333334
0.4,NBIS,135,30,0.16431122230313422,-0.059142065137178346,2.778246277366524,0.8907255746053828,8,0.4613259668508287,3.892967275700283,0.625
0.4,BE,0,165,0.8721560844465626,-0.6179728980974366,1.4113176922995878,0.40733211827431515,16,0.9425465838509317,2.9815988253803973,0.375
0.4,BE,15,150,1.4780569050974255,-0.3714587968267462,3.9790601749749723,0.6070112911470302,17,0.9114906832298136,3.9483795240578443,0.23529411764705882
0.4,BE,30,135,0.8128822105363789,-0.3420923942410089,2.3762066161684143,0.40018504402500976,19,0.9161490683229814,2.675091113783326,0.2631578947368421
0.4,BE,45,120,1.5428657041652412,-0.32045337129491247,4.814634022824324,0.5615681381381664,21,0.8995859213250518,3.59800298227977,0.3333333333333333
0.4,BE,60,105,1.8951641384943891,-0.40903327775061327,4.633276169891162,0.7750905857208146,24,0.8964803312629399,4.119759126938641,0.20833333333333334
